P12V1,283,x
P12V4,-212,x
P13V2,-212,x
P13V3,-237,x
P14V1,-148,x
P14V2,-184,x
P14V5,-276,x
P15V2,-228,x
P15V3,-162,x
P15V4,-127,x
P15V5,-163,x
P16V1,-183,x
P16V2,-157,x
P16V5,-140,x
P17V1,-148,x
P17V5,-184,x
P18V1,-204,x
P18V2,-186,x
P18V3,-142,x
P21V1,-133,x
P21V3,-224,x
P22V1,-127,x
P23V3,295,x
P23V5,152,x
P24V4,169,x
P25V2,163,x
P25V3,232,x
P25V5,-168,x
P26V4,-144,x
P27V2,170,x
P28V2,-134,x
P28V3,-159,x
P29V2,-170,x
P29V5,-173,x
P31V3,141,x
P32V2,-152,x
P32V3,-209,x
P32V5,-141,x
P33V1,-128,x
P34V2,199,x
P34V3,171,x
P35V4,-173,x
P36V5,-148,x
P37V1,200,x
P37V4,170,x
P39V2,226,x
P41V2,-156,x
P43V2,149,x
P43V4,-131,x
P43V5,161,x
P49V3,241,x
